,State,Type,Name,Office,Party,Status
0,Alabama,Federal,Barry MooreIncumbent,U.S. House Alabama District 1,Republican,On the BallotGeneral
1,Alabama,Federal,Tom Holmes,U.S. House Alabama District 1,Democratic,On the BallotGeneral
2,Alabama,Federal,Jerry CarlIncumbent,U.S. House Alabama District 1,Republican,LostPrimary
3,Alabama,Federal,Dick Brewbaker,U.S. House Alabama District 2,Republican,On the BallotPrimary Runoff
4,Alabama,Federal,Caroleene Dobson,U.S. House Alabama District 2,Republican,On the BallotPrimary Runoff
5,Alabama,Federal,Anthony Daniels,U.S. House Alabama District 2,Democratic,On the BallotPrimary Runoff
6,Alabama,Federal,Shomari Figures,U.S. House Alabama District 2,Democratic,On the BallotPrimary Runoff
7,Alabama,Federal,Greg Albritton,U.S. House Alabama District 2,Republican,LostPrimary
8,Alabama,Federal,Karla DuPriest,U.S. House Alabama District 2,Republican,LostPrimary
9,Alabama,Federal,Wallace Gilberry,U.S. House Alabama District 2,Republican,Lost(unofficially withdrew)Primary
10,Alabama,Federal,Hampton Harris,U.S. House Alabama District 2,Republican,LostPrimary
11,Alabama,Federal,Stacey Shepperson,U.S. House Alabama District 2,Republican,LostPrimary
12,Alabama,Federal,Belinda Thomas,U.S. House Alabama District 2,Republican,LostPrimary
13,Alabama,Federal,James Averhart,U.S. House Alabama District 2,Democratic,LostPrimary
14,Alabama,Federal,Napoleon Bracy Jr.,U.S. House Alabama District 2,Democratic,LostPrimary
15,Alabama,Federal,Merika Coleman,U.S. House Alabama District 2,Democratic,LostPrimary
16,Alabama,Federal,Juandalynn Givan,U.S. House Alabama District 2,Democratic,LostPrimary
17,Alabama,Federal,Jeremy Gray,U.S. House Alabama District 2,Democratic,LostPrimary
18,Alabama,Federal,Phyllis Harvey-Hall,U.S. House Alabama District 2,Democratic,LostPrimary
19,Alabama,Federal,Willie Lenard,U.S. House Alabama District 2,Democratic,LostPrimary
20,Alabama,Federal,Vimal Patel,U.S. House Alabama District 2,Democratic,LostPrimary
21,Alabama,Federal,Larry Darnell Simpson,U.S. House Alabama District 2,Democratic,LostPrimary
22,Alabama,Federal,Mike RogersIncumbent,U.S. House Alabama District 3,Republican,On the BallotGeneral
23,Alabama,Federal,Barron Rae Bevels,U.S. House Alabama District 3,Republican,LostPrimary
24,Alabama,Federal,Bryan Newell,U.S. House Alabama District 3,Republican,LostPrimary
25,Alabama,Federal,Robert AderholtIncumbent,U.S. House Alabama District 4,Republican,On the BallotGeneral
26,Alabama,Federal,Justin Holcomb,U.S. House Alabama District 4,Republican,LostPrimary
27,Alabama,Federal,Dale StrongIncumbent,U.S. House Alabama District 5,Republican,On the BallotGeneral
28,Alabama,Federal,Gary PalmerIncumbent,U.S. House Alabama District 6,Republican,On the BallotGeneral
29,Alabama,Federal,Elizabeth Anderson,U.S. House Alabama District 6,Democratic,On the BallotGeneral
30,Alabama,Federal,Ken McFeeters,U.S. House Alabama District 6,Republican,LostPrimary
31,Alabama,Federal,Gerrick Wilkins,U.S. House Alabama District 6,Republican,LostPrimary
32,Alabama,Federal,Kevin Stewart,U.S. House Alabama District 6,Independent,Candidacy DeclaredGeneral
33,Alabama,Federal,Terri SewellIncumbent,U.S. House Alabama District 7,Democratic,On the BallotGeneral
34,Alabama,Federal,Robin Litaker,U.S. House Alabama District 7,Republican,On the BallotGeneral
35,Alabama,Federal,Chris Davis,U.S. House Alabama District 7,Democratic,LostPrimary
36,Alabama,Federal,Christian Horn,U.S. House Alabama District 7,Republican,WithdrewGeneral
37,Alabama,Unknown,Twinkle Andress CavanaughIncumbent,Alabama Public Service Commission President,Republican,On the BallotGeneral
38,Alabama,Unknown,Robert McCollum,Alabama Public Service Commission President,Republican,LostPrimary
