,State,Type,Name,Office,Party,Status,Incumbent,Election_Status,Election
0,Alabama,Federal,Barry Moore,U.S. House Alabama District 1,Republican,On the BallotGeneral,Y,On the Ballot,General
1,Alabama,Federal,Tom Holmes,U.S. House Alabama District 1,Democratic,On the BallotGeneral,N,On the Ballot,General
2,Alabama,Federal,Jerry Carl,U.S. House Alabama District 1,Republican,LostPrimary,Y,Lost,Primary
3,Alabama,Federal,Dick Brewbaker,U.S. House Alabama District 2,Republican,On the BallotPrimary Runoff,N,On the Ballot,Primary Runoff
4,Alabama,Federal,Caroleene Dobson,U.S. House Alabama District 2,Republican,On the BallotPrimary Runoff,N,On the Ballot,Primary Runoff
5,Alabama,Federal,Anthony Daniels,U.S. House Alabama District 2,Democratic,On the BallotPrimary Runoff,N,On the Ballot,Primary Runoff
6,Alabama,Federal,Shomari Figures,U.S. House Alabama District 2,Democratic,On the BallotPrimary Runoff,N,On the Ballot,Primary Runoff
7,Alabama,Federal,Greg Albritton,U.S. House Alabama District 2,Republican,LostPrimary,N,Lost,Primary
8,Alabama,Federal,Karla DuPriest,U.S. House Alabama District 2,Republican,LostPrimary,N,Lost,Primary
9,Alabama,Federal,Wallace Gilberry,U.S. House Alabama District 2,Republican,Lost(unofficially withdrew)Primary,N,Lost(unofficially withdrew)Primary,NA
10,Alabama,Federal,Hampton Harris,U.S. House Alabama District 2,Republican,LostPrimary,N,Lost,Primary
11,Alabama,Federal,Stacey Shepperson,U.S. House Alabama District 2,Republican,LostPrimary,N,Lost,Primary
12,Alabama,Federal,Belinda Thomas,U.S. House Alabama District 2,Republican,LostPrimary,N,Lost,Primary
13,Alabama,Federal,James Averhart,U.S. House Alabama District 2,Democratic,LostPrimary,N,Lost,Primary
14,Alabama,Federal,Napoleon Bracy Jr.,U.S. House Alabama District 2,Democratic,LostPrimary,N,Lost,Primary
15,Alabama,Federal,Merika Coleman,U.S. House Alabama District 2,Democratic,LostPrimary,N,Lost,Primary
16,Alabama,Federal,Juandalynn Givan,U.S. House Alabama District 2,Democratic,LostPrimary,N,Lost,Primary
17,Alabama,Federal,Jeremy Gray,U.S. House Alabama District 2,Democratic,LostPrimary,N,Lost,Primary
18,Alabama,Federal,Phyllis Harvey-Hall,U.S. House Alabama District 2,Democratic,LostPrimary,N,Lost,Primary
19,Alabama,Federal,Willie Lenard,U.S. House Alabama District 2,Democratic,LostPrimary,N,Lost,Primary
20,Alabama,Federal,Vimal Patel,U.S. House Alabama District 2,Democratic,LostPrimary,N,Lost,Primary
21,Alabama,Federal,Larry Darnell Simpson,U.S. House Alabama District 2,Democratic,LostPrimary,N,Lost,Primary
22,Alabama,Federal,Mike Rogers,U.S. House Alabama District 3,Republican,On the BallotGeneral,Y,On the Ballot,General
23,Alabama,Federal,Barron Rae Bevels,U.S. House Alabama District 3,Republican,LostPrimary,N,Lost,Primary
24,Alabama,Federal,Bryan Newell,U.S. House Alabama District 3,Republican,LostPrimary,N,Lost,Primary
25,Alabama,Federal,Robert Aderholt,U.S. House Alabama District 4,Republican,On the BallotGeneral,Y,On the Ballot,General
26,Alabama,Federal,Justin Holcomb,U.S. House Alabama District 4,Republican,LostPrimary,N,Lost,Primary
27,Alabama,Federal,Dale Strong,U.S. House Alabama District 5,Republican,On the BallotGeneral,Y,On the Ballot,General
28,Alabama,Federal,Gary Palmer,U.S. House Alabama District 6,Republican,On the BallotGeneral,Y,On the Ballot,General
29,Alabama,Federal,Elizabeth Anderson,U.S. House Alabama District 6,Democratic,On the BallotGeneral,N,On the Ballot,General
30,Alabama,Federal,Ken McFeeters,U.S. House Alabama District 6,Republican,LostPrimary,N,Lost,Primary
31,Alabama,Federal,Gerrick Wilkins,U.S. House Alabama District 6,Republican,LostPrimary,N,Lost,Primary
32,Alabama,Federal,Kevin Stewart,U.S. House Alabama District 6,Independent,Candidacy DeclaredGeneral,N,Candidacy Declared,General
33,Alabama,Federal,Terri Sewell,U.S. House Alabama District 7,Democratic,On the BallotGeneral,Y,On the Ballot,General
34,Alabama,Federal,Robin Litaker,U.S. House Alabama District 7,Republican,On the BallotGeneral,N,On the Ballot,General
35,Alabama,Federal,Chris Davis,U.S. House Alabama District 7,Democratic,LostPrimary,N,Lost,Primary
36,Alabama,Federal,Christian Horn,U.S. House Alabama District 7,Republican,WithdrewGeneral,N,Withdrew,General
37,Alabama,Unknown,Twinkle Andress Cavanaugh,Alabama Public Service Commission President,Republican,On the BallotGeneral,Y,On the Ballot,General
38,Alabama,Unknown,Robert McCollum,Alabama Public Service Commission President,Republican,LostPrimary,N,Lost,Primary
39,Alabama,Unknown,Jackie Zeigler,Alabama State Board of Education District 1,Republican,On the BallotGeneral,Y,On the Ballot,General
40,Alabama,Unknown,Kelly Mooney,Alabama State Board of Education District 3,Republican,On the BallotGeneral,N,On the Ballot,General
41,Alabama,Unknown,Ann Eubank,Alabama State Board of Education District 3,Republican,LostPrimary,N,Lost,Primary
42,Alabama,Unknown,Charlotte Meadows,Alabama State Board of Education District 3,Republican,LostPrimary,N,Lost,Primary
