State,Type,Name,Office,Party,Incumbent,cm_url
Alabama,Local,Joshua Raby,Jefferson County Constable District 55,Democratic,N,https://www.linkedin.com/in/joshua-raby-18859922
Alabama,Local,Yashiba Blanchard,Jefferson County Probate Court,Democratic,N,https://www.linkedin.com/in/yashiba-glenn-blanchard-esq-b724a017
Alaska,Local,Darin Colbry,Mayor of Anchorage,Nonpartisan,N,https://www.linkedin.com/in/darin-colbry-3568bb68
Alaska,Local,Suzanne LaFrance,Mayor of Anchorage,Nonpartisan,N,https://www.linkedin.com/in/annaverity
Alaska,Local,Chris Tuck,Mayor of Anchorage,Nonpartisan,N,https://www.linkedin.com/in/chris-tuck-77132a5
Alaska,Local,Luke Sherman,Birchtree-Elmore LRSA Seat B,Nonpartisan,N,https://www.linkedin.com/in/lukesherman
Alaska,Local,Kelsie Sullivan,Chugiak Fire Service Area Seat B,Nonpartisan,N,https://www.linkedin.com/in/kelsie-sullivan-8b9727127
Alaska,Local,John Lau,Lakehill LRSA Seat B,Nonpartisan,Y,https://www.linkedin.com/in/roger22
Alaska,Local,David Lipps,Rabbit Creek View and Rabbit Creek Heights LRSA Seat A,Nonpartisan,Y,https://www.linkedin.com/in/dlipps
Alaska,Local,Tony Winsor,Talus West LRSA Seat B,Nonpartisan,Y,https://www.linkedin.com/in/robert-christmann-678295208
Alaska,Local,Patrice Higgins,Totem LRSA Seat C,Nonpartisan,N,https://www.linkedin.com/in/patrickwhiggins
Alaska,Local,Kristy Hoffman,Homestead Service Area Seat C,Nonpartisan,N,https://www.linkedin.com/in/kristy-hoffman-07b6a2166
Arizona,Federal,Ruben Gallego,U.S. Senate Arizona,Democratic,N,https://www.linkedin.com/in/monica-sandschafer-4a2b6b223
Arizona,Federal,John Williamson,U.S. House Arizona District 1,Democratic,N,https://www.linkedin.com/in/rhett-styles-a757a4213
Arizona,Federal,Jonathan Nez,U.S. House Arizona District 2,Democratic,N,https://www.linkedin.com/in/james-gravitt
Arizona,Federal,Vieri Tenuta,U.S. House Arizona District 6,Democratic,N,https://www.linkedin.com/in/emma-gore-1bb672113
Arizona,Federal,Raúl Grijalva,U.S. House Arizona District 7,Democratic,Y,https://www.linkedin.com/in/elvirakdin
Arizona,State,John McLean,Arizona State Senate District 17,Democratic,N,https://www.linkedin.com/in/peterfinocchio
Arkansas,State,Michelle Justice,Arkansas State Senate District 25,Democratic,N,https://www.linkedin.com/in/michelle-whitlock-16b71196
Arkansas,State,Rick Delaney,Arkansas House of Representatives District 6,Democratic,N,https://www.linkedin.com/in/eric-delaney-052aab18
Arkansas,State,Jacob Malloy,Arkansas House of Representatives District 14,Democratic,N,https://www.linkedin.com/in/joshuahagan
Arkansas,State,Daniel Parker,Arkansas House of Representatives District 36,Democratic,N,https://www.linkedin.com/in/astate-christina-smith
