State,Type,Name,Office,Party,Incumbent,fd_url
Alabama,Local,Angela Webb Weinberg,Jefferson County Treasurer,Democratic,N,https://www.linkedin.com/in/angela-webb-a7669a6
Alabama,Local,Andre Bennett,Jefferson County Constable District 51,Democratic,N,https://www.linkedin.com/in/andrew-bennett-36b39282
Alabama,Local,Richmond Williams,Jefferson County Constable District 52,Democratic,N,https://www.linkedin.com/in/major-malinda-parker-2ab81b93
Alabama,Local,James Franklin,Jefferson County Constable District 59,Democratic,N,https://www.linkedin.com/in/jamesmarkfranklin
Alabama,Local,Leo Taylor Jr.,Jefferson County Constable District 60,Democratic,N,https://www.linkedin.com/in/justin-taylor-13774634
Alabama,Local,Marshell Jackson Hatcher,Alabama 10th Judicial Circuit Place 8,Democratic,Y,https://www.linkedin.com/in/jamieshatcher
Alaska,Local,Nick Danger,Mayor of Anchorage,Nonpartisan,N,https://www.linkedin.com/in/nicholas-danger-708309a0
Alaska,Local,Phil Isley,Mayor of Anchorage,Nonpartisan,N,https://www.linkedin.com/in/xaviermason
Alaska,Local,Bill Ennis,Bear Valley LRSA Seat C,Nonpartisan,Y,https://www.linkedin.com/in/bill-ennis
Alaska,Local,Robert Schoff,Birchtree-Elmore LRSA Seat B,Nonpartisan,N,https://www.linkedin.com/in/robert-schoff-b12143142
Alaska,Local,Kelsie Sullivan,Chugiak Fire Service Area Seat B,Nonpartisan,N,https://www.linkedin.com/in/ronni-sullivan-baa85410
Alaska,Local,David Lipps,Rabbit Creek View and Rabbit Creek Heights LRSA Seat A,Nonpartisan,Y,https://www.linkedin.com/in/davelipps
Alaska,Local,Jack Walker,Section 6-Campbell Airstrip LRSA Seat C,Nonpartisan,Y,https://www.linkedin.com/in/sarah-walker-7680b361
Alaska,Local,Marty Lemon,South Goldenview RRSA Seat C,Nonpartisan,Y,https://www.linkedin.com/in/martinlemon
Alaska,Local,Pamela Giammalva,Totem LRSA Seat C,Nonpartisan,Y,https://www.linkedin.com/in/pamela-cowles-crum-4216559
Alaska,Local,Drew Loeffler,Valli Vue LRSA Seat A,Nonpartisan,N,https://www.linkedin.com/in/mason-villarma-7b39b3161
Alaska,Local,Kristy Hoffman,Homestead Service Area Seat C,Nonpartisan,N,https://www.linkedin.com/in/kristyannhoffman
Arizona,Federal,Ruben Gallego,U.S. Senate Arizona,Democratic,N,https://www.linkedin.com/in/michaeltoppen
Arizona,Federal,Melissa Lamore,U.S. House Arizona District 1,Democratic,N,https://www.linkedin.com/in/lauren-wilson-09b08590
Arizona,Federal,Conor O'Callaghan,U.S. House Arizona District 1,Democratic,N,https://www.linkedin.com/in/conor-o-callaghan-67504617b
Arizona,Federal,John Williamson,U.S. House Arizona District 1,Democratic,N,https://www.linkedin.com/in/john-williamson-iii-16b04258
Arizona,Federal,Jack O'Donnell,U.S. House Arizona District 6,Democratic,N,https://www.linkedin.com/in/jackie-o-donnell-2828771b0
Arizona,Federal,Vieri Tenuta,U.S. House Arizona District 6,Democratic,N,https://www.linkedin.com/in/victoria-fimea-1783589a
Arizona,Federal,Raúl Grijalva,U.S. House Arizona District 7,Democratic,Y,https://www.linkedin.com/in/sheila-healy-political-affairs
Arizona,Federal,Mark Thompson,U.S. House Arizona District 8,Democratic,N,https://www.linkedin.com/in/mark-thompson-8b916b146
Arkansas,Federal,Risie Howard,U.S. House Arkansas District 4,Democratic,N,https://www.linkedin.com/in/reese-howard-678032227
Arkansas,State,Sandy Maier,Arkansas State Senate District 22,Democratic,N,https://www.linkedin.com/in/seth-maier-90995328a
Arkansas,State,Michelle Justice,Arkansas State Senate District 25,Democratic,N,https://www.linkedin.com/in/ryanwnorris
Arkansas,State,Caitlin Oxford,Arkansas House of Representatives District 25,Democratic,N,https://www.linkedin.com/in/marissa-wyant-58053a15
Arkansas,State,David McAvoy,Arkansas House of Representatives District 32,Democratic,N,https://www.linkedin.com/in/davidmcavoy
Arkansas,State,Lisa Head,Arkansas House of Representatives District 37,Democratic,N,https://www.linkedin.com/in/lisa-ables-0a73b91a7
Arkansas,State,Amie Gates,Arkansas House of Representatives District 53,Democratic,N,https://www.linkedin.com/in/joefrankieiii
Arkansas,State,Lincoln Barnett,Arkansas House of Representatives District 63,Democratic,N,https://www.linkedin.com/in/laura-favorite-56767118
Arkansas,State,Fred Leonard,Arkansas House of Representatives District 63,Democratic,N,https://www.linkedin.com/in/fred-leonard-54459073
Arkansas,State,Andrew Eberly,Arkansas House of Representatives District 67,Democratic,N,https://www.linkedin.com/in/richard-eberle-57934b272
Arkansas,State,David Murray,Arkansas House of Representatives District 92,Democratic,N,https://www.linkedin.com/in/david-murray-8755683a
Arkansas,State,O'Dell Carr,Arkansas House of Representatives District 97,Democratic,N,https://www.linkedin.com/in/carrjohnp
California,Federal,Jared Huffman,U.S. House California District 2,Democratic,Y,https://www.linkedin.com/in/jaredmhuffman
California,Federal,Mike Thompson,U.S. House California District 4,Democratic,Y,https://www.linkedin.com/in/emma-tomaszewski-1194ab82
California,Federal,John Garamendi,U.S. House California District 8,Democratic,Y,https://www.linkedin.com/in/jacqueline-hartsough-8b23a230
California,Federal,Josh Harder,U.S. House California District 9,Democratic,Y,https://www.linkedin.com/in/evelynzhai
California,Federal,Nancy Pelosi,U.S. House California District 11,Democratic,Y,https://www.linkedin.com/in/crystalrsung
California,Federal,Zoe Lofgren,U.S. House California District 18,Democratic,Y,https://www.linkedin.com/in/joe-zanoni-427b0057
California,Federal,Jimmy Panetta,U.S. House California District 19,Democratic,Y,https://www.linkedin.com/in/markdennin
California,Federal,Jim Costa,U.S. House California District 21,Democratic,Y,https://www.linkedin.com/in/jim-costa-91149
California,Federal,Raul Ruiz,U.S. House California District 25,Democratic,Y,https://www.linkedin.com/in/raul-ruiz-134b6a135
California,Federal,Julia Brownley,U.S. House California District 26,Democratic,Y,https://www.linkedin.com/in/raymondschein
California,Federal,Judy Chu,U.S. House California District 28,Democratic,Y,https://www.linkedin.com/in/madeline-hanley
California,Federal,Bob Archuleta,U.S. House California District 31,Democratic,N,https://www.linkedin.com/in/bob-archuleta-a84836113
California,Federal,Gil Cisneros,U.S. House California District 31,Democratic,N,https://www.linkedin.com/in/rep-gilbert-cisneros-baa7b91a8
California,Federal,Jimmy Gomez,U.S. House California District 34,Democratic,Y,https://www.linkedin.com/in/zaidisali
California,Federal,Juan Rey,U.S. House California District 37,No party preference,N,https://www.linkedin.com/in/darrynaharris
California,Federal,Mark Takano,U.S. House California District 39,Democratic,Y,https://www.linkedin.com/in/charles-beall-1104171a
California,Federal,Robert Garcia,U.S. House California District 42,Democratic,Y,https://www.linkedin.com/in/richblackmon
California,Federal,Cheyenne Hunt,U.S. House California District 45,Democratic,N,https://www.linkedin.com/in/jerret-williams-9b0a52179
California,Federal,Derek Tran,U.S. House California District 45,Democratic,N,https://www.linkedin.com/in/derektran
California,Federal,Sara Jacobs,U.S. House California District 51,Democratic,Y,https://www.linkedin.com/in/sarah-rose-jacobs
California,Federal,Juan Vargas,U.S. House California District 52,Democratic,Y,https://www.linkedin.com/in/juan-vargas-a33a6522
California,State,Tim Grayson,California State Senate District 9,Democratic,N,https://www.linkedin.com/in/steven-stenzler-3625931b
California,State,David Lee,California State Assembly District 19,Democratic,N,https://www.linkedin.com/in/tompaulino
California,State,Robert Garcia,California State Assembly District 50,Democratic,N,https://www.linkedin.com/in/robert-garcia-0b38ab88
California,State,Francisco Carrillo Jr.,California State Assembly District 52,Democratic,N,https://www.linkedin.com/in/franciscorcarrillo1975
California,State,Jimmy Pham,California State Assembly District 70,Democratic,N,https://www.linkedin.com/in/jimmy-pham-196872141
California,Local,Julius Engel,Mayor of Sacramento,Nonpartisan,N,https://www.linkedin.com/in/roberta-raper-69aa3430
California,Local,Larry Turner,Mayor of San Diego,Nonpartisan,N,https://www.linkedin.com/in/larry-turner-a0286435
California,Local,Daniel Lurie,Mayor of San Francisco,Nonpartisan,N,https://www.linkedin.com/in/duncan-cady
California,Local,Paul Cook,San Bernardino County Board of Supervisors District 1,Nonpartisan,Y,https://www.linkedin.com/in/dakota-higgins-17b492107
California,Local,Ben Bartlett,Alameda County Board of Supervisors District 5,Nonpartisan,N,https://www.linkedin.com/in/bennybartlett
California,Local,Darren Amos,Kern County Board of Supervisors District 5,Nonpartisan,N,https://ca.linkedin.com/in/darin-amos
California,Local,Alex Villanueva,Los Angeles County Board of Supervisors District 4,Nonpartisan,N,https://www.linkedin.com/in/alex-villanueva-65132846
California,Local,Frances Marquez,Orange County Board of Supervisors District 1,Nonpartisan,N,https://www.linkedin.com/in/frances-marquez-a7635b4a
California,Local,Michael Vo,Orange County Board of Supervisors District 1,Nonpartisan,N,https://www.linkedin.com/in/michael-vo-finance
California,Local,Jose Medina,Riverside County Board of Supervisors District 1,Nonpartisan,N,https://www.linkedin.com/in/jose-medina-5abb68123
California,Local,Jack Guerrero,Riverside County Board of Supervisors District 3,Nonpartisan,N,https://www.linkedin.com/in/jackguerrero
California,Local,Mike Juarez,Riverside County Board of Supervisors District 3,Nonpartisan,N,https://www.linkedin.com/in/leah-juarez-8b479457
California,Local,Daniel Rice-Vazquez,Chula Vista City Council District 3,Nonpartisan,N,https://www.linkedin.com/in/sarah-schoen-a59500a
California,Local,Leticia Lares,Chula Vista City Council District 4,Nonpartisan,N,https://www.linkedin.com/in/leticia-lares-895a482b5
California,Local,José Sarmiento,Chula Vista City Council District 4,Nonpartisan,N,https://www.linkedin.com/in/jasarmiento
California,Local,Ely De La Cruz Ayao,Los Angeles City Council District 6,Nonpartisan,N,https://www.linkedin.com/in/ely-de-la-cruz-98981733
California,Local,Jahan Epps,Los Angeles City Council District 8,Nonpartisan,N,https://www.linkedin.com/in/claytonrosa
California,Local,Reginald Jones-Sawyer,Los Angeles City Council District 10,Nonpartisan,N,https://www.linkedin.com/in/reginald-jones-sawyer-sr-b5244244
California,Local,Mario Flores,San Bernardino City Council Ward 6,Nonpartisan,N,https://www.linkedin.com/in/marioiflores
California,Local,Treasure Ortiz,San Bernardino City Council Ward 7,Nonpartisan,N,https://www.linkedin.com/in/barbara-whitehorn-mba-ctp-7706784
California,Local,James F. Penman,San Bernardino City Council Ward 7,Nonpartisan,N,https://www.linkedin.com/in/jamespenman
